Filename,Rating
kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking_comparison.json,7
SecHack365-Fans_PyJailBreak_comparison.json,5
MyEMS_myems_comparison.json,7
IBM_kubernetes-storage_comparison.json,7
marklogic_cloud-enablement-aws_comparison.json,7
pau-minoves_jseats_comparison.json,7
gdsc-ys_mlops_comparison.json,7
Spiderpig86_SmoresUnderflow_comparison.json,7
bluekiri_mlab_comparison.json,7
itselavia_edge-computing-platform-for-deep-learning-apps_comparison.json,7
IBMDeveloperMEA_YPDL-Recurrent-Neural-Networks-using-TensorFlow-Keras_comparison.json,7
LouisvilleMetro_WazeCCPProcessor_comparison.json,7
xinsongyan_talos_pal_locomotion_slmc_comparison.json,8
zalando-incubator_fabric-gateway_comparison.json,7
Azure_AzureStack-QuickStart-Templates_comparison.json,7
McOrts_taller-iot-sensor_radiactividad_comparison.json,7
2WAY_Design_comparison.json,7
brightzheng100_instana-handson-labs_comparison.json,6
serverdevcamp_camp4_quadcore_comparison.json,6
odh-labs_predictive-maint_comparison.json,8
chrispiro_deploy_plotly_app_on_gcp_comparison.json,8
marmarek_qubes-app-u2f_comparison.json,7
Simon-0711_ta_lyrics_sentiment_classification_comparison.json,8
elloza_Android-Developer-Certification_comparison.json,7
zeropaper_visual-fiha_comparison.json,7
chirgjin_track-my-events_comparison.json,8
IBM_torc_py_comparison.json,8
btcpayserver_btcpayserver-doc_comparison.json,7
apigee_consumer-data-standards-au_comparison.json,7
DehengYang_APRConfig_comparison.json,6
emreturgutce_stock-management_comparison.json,7
IBM_datastax-cassandra-clickstream_comparison.json,7
Scientific-Computing-Lab-NRCN_compar_comparison.json,5
sugarlabs_musicblocks-v4-lib_comparison.json,7
leekoko_Java-Web_comparison.json,7
Crazy0416_KnowledgeGraph_comparison.json,8
terrenjpeterson_javawatch_comparison.json,8
hotshot07_distributed_systems_comparison.json,7
wso2_chef-apim_comparison.json,7
oracle-quickstart_oci-jenkins_comparison.json,7
Speccy-Rom_SpeccyTV_comparison.json,7
Software-Engineering-DHBW_bikeminer_comparison.json,7
RunnersHi_RunnersHi_Server_comparison.json,8
jsarcher_zilgraph_comparison.json,8
anjuchamantha_EMonitor_comparison.json,8
tarhses_esp-alarm-clock_comparison.json,7
dylanvanh_MunchOut_comparison.json,7
CMU-RERC-APT_tiramisu3-pr_comparison.json,7
ebu_PlugIt_comparison.json,5
ashavijit_Face-Find_comparison.json,8
cordon-thiago_airflow-spark_comparison.json,8
pagopa_pn-infra_comparison.json,7
IBM_IBM-Spectrum-Scale-Security-Posture_comparison.json,7
domingo1021_Bunny-code_comparison.json,7
fecgov_fec-eregs_comparison.json,7
codestates_BEB-05-LeeSea_comparison.json,6
lkravi_kube8aws_comparison.json,7
hyper-prog_hasses_comparison.json,7
aliyun_packagist-mirror_comparison.json,8
Neighbor-Army_help-with-covid_comparison.json,7
jquku_Matrix-Chatbot_comparison.json,7
inovex_scrumlr.io_comparison.json,8
IceFireDB_IceFireDB_comparison.json,8
today-real-estate_today-real-estate_front-end_comparison.json,7
kpantos_Azure-How-To_comparison.json,6
shawntabrizi_Ethereum-Twitter-Bounty_comparison.json,7
ruoccofabrizio_azure-open-ai-embeddings-qna_comparison.json,6
gpsnmeajp_VirtualMotionTracker_comparison.json,5
nasa_cFS_comparison.json,8
redbadger_crux_comparison.json,7
blockchain-signaling-system_bloss-core_comparison.json,5
microsoft_covid19-BackToWork_comparison.json,6
onlybakam_reinvent2022-vote-app_comparison.json,8
s-sokolko_smev3_adapter_service_comparison.json,8
eProsima_FIWARE-SH_comparison.json,7
23fa-cpsc490_canyough_comparison.json,7
blentle_hikarikeeper_comparison.json,8
Enterprise-CMCS_macpro-appian-connector_comparison.json,7
UoA-eResearch_hub-stack_comparison.json,7
marekq_rss-lambda_comparison.json,6
rubenbupe_proyectos-data_comparison.json,7
AhmedAbdelGawadFarag_Shams-Personal-Assistant_comparison.json,7
gcba-iris_iris_comparison.json,8
DanNguyenN_CompassUTD_comparison.json,7
codahale_sneaker_comparison.json,7
UnoSD_UnoCash_comparison.json,7
andrempmattos_harsh-payload_comparison.json,7
little-hands_webdbpress-2019-10-ddd_comparison.json,7
DecenterApps_ResistanceProtocol_comparison.json,7
nikmis_xentrace-analysis_comparison.json,7
NatalieLouise91_T3A2-Skemi-FrontEnd_comparison.json,5
kansiris_Angular-Interview-Questions-Answers_comparison.json,7
dich1_bookshelf-web_comparison.json,8
EMERIC237_Restaurant-reservation-app_comparison.json,7
alextanhongpin_node-rest_comparison.json,8
mendhak_gpslogger_comparison.json,7
orchsym_runtime_comparison.json,7
NodleCode_n1_comparison.json,8
arkaneshiro_Sound-Zone_comparison.json,8
vishipayyallore_blazorwasm-apim-api-sql-redis_comparison.json,7
qunarcorp_m_adr_qapm_open_source_comparison.json,6
FudanOCR_FudanOCR_comparison.json,8
zoolhelmy_ESP8266-Weather-Station_comparison.json,7
duanfuxiang0_MysqlMigrationTool_comparison.json,7
